run,candidate,scenario,seed,cost,breach,gate_passed,mean_test_relative,robust_min_p05,dead_fold_fraction,avg_step_rate,avg_suppression_rate,validation_threshold_pass,validation_threshold_value,validation_threshold_threshold,active_fraction_pass,active_fraction_value,active_fraction_threshold,robust_min_threshold_pass,robust_min_threshold_value,robust_min_threshold_threshold
setA_2020_2026,baseline_ntb005,baseline_b20_s4242,7,5,True,True,0.000243823877859195,,0.0,,,True,0.0023697347346789853,0.0001,True,0.8,0.01,True,-0.0028886998147724663,-0.01
setA_2020_2026,baseline_ntb005,baseline_b20_s4242,7,10,True,True,0.000322851747734787,,0.0,,,True,0.0015341077058220521,0.0001,True,0.8,0.01,True,-0.0030410573093546667,-0.01
setA_2020_2026,baseline_ntb005,baseline_b20_s4242,7,15,True,True,-0.00033291650546074525,,0.0,,,True,0.0009260218583746038,0.0001,True,0.6,0.01,True,-0.003237411480505936,-0.01
setA_2020_2026,baseline_ntb005,baseline_b20_s4242,17,5,True,True,0.000243823877859195,,0.0,,,True,0.0023697347346789853,0.0001,True,0.8,0.01,True,-0.0028886998147724663,-0.01
setA_2020_2026,baseline_ntb005,baseline_b20_s4242,17,10,True,True,0.000322851747734787,,0.0,,,True,0.0015341077058220521,0.0001,True,0.8,0.01,True,-0.0030410573093546667,-0.01
setA_2020_2026,baseline_ntb005,baseline_b20_s4242,17,15,True,True,-0.00033291650546074525,,0.0,,,True,0.0009260218583746038,0.0001,True,0.6,0.01,True,-0.003237411480505936,-0.01
setA_2020_2026,baseline_ntb005,altblock_b16_s4242,7,5,True,True,0.000243823877859195,,0.0,,,True,0.0023697347346789853,0.0001,True,0.8,0.01,True,-0.0028886998147724663,-0.01
setA_2020_2026,baseline_ntb005,altblock_b16_s4242,7,10,True,True,0.000322851747734787,,0.0,,,True,0.0015341077058220521,0.0001,True,0.8,0.01,True,-0.0030410573093546667,-0.01
setA_2020_2026,baseline_ntb005,altblock_b16_s4242,7,15,True,True,-0.00033291650546074525,,0.0,,,True,0.0009260218583746038,0.0001,True,0.6,0.01,True,-0.003237411480505936,-0.01
setA_2020_2026,baseline_ntb005,altblock_b16_s4242,17,5,True,True,0.000243823877859195,,0.0,,,True,0.0023697347346789853,0.0001,True,0.8,0.01,True,-0.0028886998147724663,-0.01
setA_2020_2026,baseline_ntb005,altblock_b16_s4242,17,10,True,True,0.000322851747734787,,0.0,,,True,0.0015341077058220521,0.0001,True,0.8,0.01,True,-0.0030410573093546667,-0.01
setA_2020_2026,baseline_ntb005,altblock_b16_s4242,17,15,True,True,-0.00033291650546074525,,0.0,,,True,0.0009260218583746038,0.0001,True,0.6,0.01,True,-0.003237411480505936,-0.01
setA_2020_2026,baseline_ntb005,altseed_b20_s5252,7,5,True,True,0.000243823877859195,,0.0,,,True,0.0023697347346789853,0.0001,True,0.8,0.01,True,-0.0028886998147724663,-0.01
setA_2020_2026,baseline_ntb005,altseed_b20_s5252,7,10,True,True,0.000322851747734787,,0.0,,,True,0.0015341077058220521,0.0001,True,0.8,0.01,True,-0.0030410573093546667,-0.01
setA_2020_2026,baseline_ntb005,altseed_b20_s5252,7,15,True,True,-0.00033291650546074525,,0.0,,,True,0.0009260218583746038,0.0001,True,0.6,0.01,True,-0.003237411480505936,-0.01
setA_2020_2026,baseline_ntb005,altseed_b20_s5252,17,5,True,True,0.000243823877859195,,0.0,,,True,0.0023697347346789853,0.0001,True,0.8,0.01,True,-0.0028886998147724663,-0.01
setA_2020_2026,baseline_ntb005,altseed_b20_s5252,17,10,True,True,0.000322851747734787,,0.0,,,True,0.0015341077058220521,0.0001,True,0.8,0.01,True,-0.0030410573093546667,-0.01
setA_2020_2026,baseline_ntb005,altseed_b20_s5252,17,15,True,True,-0.00033291650546074525,,0.0,,,True,0.0009260218583746038,0.0001,True,0.6,0.01,True,-0.003237411480505936,-0.01
setA_2020_2026,baseline_ntb005,deepcheck_b12_s8080,7,5,True,True,0.000243823877859195,,0.0,,,True,0.0023697347346789853,0.0001,True,0.8,0.01,True,-0.0028886998147724663,-0.01
setA_2020_2026,baseline_ntb005,deepcheck_b12_s8080,7,10,True,True,0.000322851747734787,,0.0,,,True,0.0015341077058220521,0.0001,True,0.8,0.01,True,-0.0030410573093546667,-0.01
setA_2020_2026,baseline_ntb005,deepcheck_b12_s8080,7,15,True,True,-0.00033291650546074525,,0.0,,,True,0.0009260218583746038,0.0001,True,0.6,0.01,True,-0.003237411480505936,-0.01
setA_2020_2026,baseline_ntb005,deepcheck_b12_s8080,17,5,True,True,0.000243823877859195,,0.0,,,True,0.0023697347346789853,0.0001,True,0.8,0.01,True,-0.0028886998147724663,-0.01
setA_2020_2026,baseline_ntb005,deepcheck_b12_s8080,17,10,True,True,0.000322851747734787,,0.0,,,True,0.0015341077058220521,0.0001,True,0.8,0.01,True,-0.0030410573093546667,-0.01
setA_2020_2026,baseline_ntb005,deepcheck_b12_s8080,17,15,True,True,-0.00033291650546074525,,0.0,,,True,0.0009260218583746038,0.0001,True,0.6,0.01,True,-0.003237411480505936,-0.01
setA_2020_2026,objw05_ntb005,baseline_b20_s4242,7,5,False,True,-0.00013111732452386615,-0.0014124500986572974,0.0,,,True,0.00021782915273416137,0.0001,True,0.2,0.01,True,-0.0006555866226193308,-0.01
setA_2020_2026,objw05_ntb005,baseline_b20_s4242,7,10,False,True,-0.00013636609064739957,-0.0014499214150543837,0.0,,,True,0.0002087283471682966,0.0001,True,0.2,0.01,True,-0.0006818304532369979,-0.01
setA_2020_2026,objw05_ntb005,baseline_b20_s4242,7,15,False,True,-0.00014161474664144968,-0.001487391511330416,0.0,,,True,0.00016827800194159083,0.0001,True,0.2,0.01,True,-0.0007080737332072484,-0.01
setA_2020_2026,objw05_ntb005,baseline_b20_s4242,17,5,False,True,-0.00013111732452386615,-0.0013779196693104734,0.0,,,True,0.00021782915273416137,0.0001,True,0.2,0.01,True,-0.0006555866226193308,-0.01
setA_2020_2026,objw05_ntb005,baseline_b20_s4242,17,10,False,True,-0.00013636609064739957,-0.0013986886327274684,0.0,,,True,0.0002087283471682966,0.0001,True,0.2,0.01,True,-0.0006818304532369979,-0.01
setA_2020_2026,objw05_ntb005,baseline_b20_s4242,17,15,False,True,-0.00014161474664144968,-0.0014307643035543494,0.0,,,True,0.00016827800194159083,0.0001,True,0.2,0.01,True,-0.0007080737332072484,-0.01
setA_2020_2026,objw05_ntb005,altblock_b16_s4242,7,5,False,True,-0.00013111732452386615,-0.0017383219121149761,0.0,,,True,0.00021782915273416137,0.0001,True,0.2,0.01,True,-0.0006555866226193308,-0.01
setA_2020_2026,objw05_ntb005,altblock_b16_s4242,7,10,False,True,-0.00013636609064739957,-0.001776656783676117,0.0,,,True,0.0002087283471682966,0.0001,True,0.2,0.01,True,-0.0006818304532369979,-0.01
setA_2020_2026,objw05_ntb005,altblock_b16_s4242,7,15,False,True,-0.00014161474664144968,-0.00181436704445474,0.0,,,True,0.00019962764380423436,0.0001,True,0.2,0.01,True,-0.0007080737332072484,-0.01
setA_2020_2026,objw05_ntb005,altblock_b16_s4242,17,5,False,True,-0.00013111732452386615,-0.001608479059752982,0.0,,,True,0.00021782915273416137,0.0001,True,0.2,0.01,True,-0.0006555866226193308,-0.01
setA_2020_2026,objw05_ntb005,altblock_b16_s4242,17,10,False,True,-0.00013636609064739957,-0.0016508656328638183,0.0,,,True,0.0002087283471682966,0.0001,True,0.2,0.01,True,-0.0006818304532369979,-0.01
setA_2020_2026,objw05_ntb005,altblock_b16_s4242,17,15,False,True,-0.00014161474664144968,-0.0016932506294771831,0.0,,,True,0.00016827800194159083,0.0001,True,0.2,0.01,True,-0.0007080737332072484,-0.01
setA_2020_2026,objw05_ntb005,altseed_b20_s5252,7,5,False,True,-0.00013111732452386615,-0.001403617998687956,0.0,,,True,0.00021782915273416137,0.0001,True,0.2,0.01,True,-0.0006555866226193308,-0.01
setA_2020_2026,objw05_ntb005,altseed_b20_s5252,7,10,False,True,-0.00013636609064739957,-0.0014362216310954245,0.0,,,True,0.0002087283471682966,0.0001,True,0.2,0.01,True,-0.0006818304532369979,-0.01
setA_2020_2026,objw05_ntb005,altseed_b20_s5252,7,15,False,True,-0.00014161474664144968,-0.0014688243702381865,0.0,,,True,0.00019962764380423436,0.0001,True,0.2,0.01,True,-0.0007080737332072484,-0.01
setA_2020_2026,objw05_ntb005,altseed_b20_s5252,17,5,False,True,-0.00013111732452386615,-0.0015406476670950687,0.0,,,True,0.00021782915273416137,0.0001,True,0.2,0.01,True,-0.0006555866226193308,-0.01
setA_2020_2026,objw05_ntb005,altseed_b20_s5252,17,10,False,True,-0.00013636609064739957,-0.0015874640544583207,0.0,,,True,0.0002087283471682966,0.0001,True,0.2,0.01,True,-0.0006818304532369979,-0.01
setA_2020_2026,objw05_ntb005,altseed_b20_s5252,17,15,False,True,-0.00014161474664144968,-0.0016342784897992568,0.0,,,True,0.00019962764380423436,0.0001,True,0.2,0.01,True,-0.0007080737332072484,-0.01
setA_2020_2026,objw05_ntb005,deepcheck_b12_s8080,7,5,False,True,-0.00013111732452386615,-0.0016616995876509,0.0,,,True,0.00021782915273416137,0.0001,True,0.2,0.01,True,-0.0006555866226193308,-0.01
setA_2020_2026,objw05_ntb005,deepcheck_b12_s8080,7,10,False,True,-0.00013636609064739957,-0.0016977394399962486,0.0,,,True,0.0002087283471682966,0.0001,True,0.2,0.01,True,-0.0006818304532369979,-0.01
setA_2020_2026,objw05_ntb005,deepcheck_b12_s8080,7,15,False,True,-0.00014161474664144968,-0.001733778174384215,0.0,,,True,0.00019962764380423436,0.0001,True,0.2,0.01,True,-0.0007080737332072484,-0.01
