candidate,abs_slack
zn_s070_objw1,0.0066939734198143
f_s092362_objw1,0.007
h_s092624_objw1,0.007
z_q_objw1,0.007
q_s09231_h10_ntb050,0.007
k_s09262548_objw1,0.0070513269048668
l_s092625478_objw1,0.0070513269306004
l_s092625476_objw1,0.0070513269563362
l_s092625474_objw1,0.0070513269820721
l_s092625472_objw1,0.0070513270078105
l_s092625470_objw1,0.0070513270335486
l_s092625468_objw1,0.0070513270592839
zn_s072_objw1,0.0083244297118664
zn_s074_objw1,0.0083606008009105
zn_s076_objw1,0.0083967384216845
zn_s078_objw1,0.0084328425719464
zn_s080_objw1,0.0084689132494348
j_s0926254_objw1,0.0086911327923005
k_s09262546_objw1,0.0086911328998392
l_s092625462_objw1,0.0086911329034227
l_s092625464_objw1,0.0086911329070102
l_s092625466_objw1,0.0086911329105947
